23,Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,9062898936.170212,8976196808.51064,9593510638.297873,11074813829.787233,13150159574.468084,15968723404.25532,18504760638.29787,21730000000.0,25710904255.31915,22938218085.106384,25713271276.595745,28776595744.68085,30749308510.638298,32539468085.106384,33387712765.957447,31050638297.87234,32234973404.255318,35473776595.74468,37802005319.14893,38653318085.106384,34723357446.80851
24,"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10562800000.0,11176100000.0,11861900000.0,11834600000.0,12357600000.0,12755800000.0,13192800000.0,9699500000.0
25,Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,5567405605.275553,5800774707.174232,6728771318.575554,8498560877.091748,10157553968.25397,11222953328.670439,12864610865.24277,15778767389.783064,19112739364.889156,17613836494.069183,17176781065.890162,18644723860.97093,17221192487.029617,18172335776.330074,18560861397.557667,16219819343.521389,16914287593.289875,18079076426.866726,20177422311.077286,20201323282.5451,19955120004.660378
26,Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,12736856827.984661,12354820143.884892,14594249022.892239,17827791321.30668,23144351851.851852,30207567316.62024,36954312354.312355,45277399813.606705,60763483146.06741,50874078052.273544,57222490768.71433,61757788944.72362,65685102554.875854,75527984234.23424,78813839984.35056,56454734396.5842,47722657820.66747,54726595249.18491,60031262269.33648,64409647193.804375,61489588894.821144
27,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,832072450.0,871590369.32848,932292858.8877101,990727709.549365,1057653620.03465,1111453823.62023,1211148304.51368,1283112549.99844,1352588867.727765,1320605471.63149,1387925188.490035,1466822039.4101999,1531348953.18392,1581844936.423505,1676406801.540945,1734320479.1395001,1796928936.715055,1844906692.53913,1887465218.482045,1945250235.57603,1585631670.346095
28,Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,3480219000.0,3680483000.0,3937228000.0,4186524999.9999995,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6881662000.0
29,Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,8397912525.26886,8141537877.067913,7905485146.443515,8082364816.16879,8773451751.512096,9549077918.696768,11451869202.156874,13120183207.662521,16674324661.868118,17339992193.732193,19649631308.164806,23963033429.436356,27084497481.910275,30659338885.672935,32996188017.366135,33000198248.914616,33941126193.921852,37508642170.767006,40287647930.53545,40895322850.94067,36629843806.07815
30,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,655448188259.3507,559983704094.1699,509795270685.1901,558233724164.7108,669289321944.5156,891633826603.3773,1107626711406.6265,1397114247331.1743,1695855391810.8962,1666996294372.8713,2208838108577.0903,2616156606666.6235,2465228293894.0117,2472819362216.695,2456043766028.728,1802211999538.684,1795693265810.2322,2063514688761.976,1916933708381.8914,1873288158977.227,1448565936739.5608
31,Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217450802.54938,4674007452.491626,4784925079.033125,4465657314.64407,4529928302.16747,4657699461.456374,4610095997.771035,4677248301.89959,4696344341.643265,4724691212.50593,4832811755.564671,4981588899.82409,5097283213.13965,5304164323.2532,4689534961.759561
32,Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,6001153306.264502,5601090584.361221,5843329107.561711,6557333084.605671,7872333215.004142,9531402847.873106,11470703002.076908,12247694247.229778,14393099068.585943,10732366286.264265,13707370737.073708,18525319977.740677,19047940300.896286,18093829923.273655,17098342541.436466,12930394937.81366,11400854267.718817,12128104859.14983,13567351175.031507,13469422958.51048,12005825769.508663
